"fips","Urban_Code"
8073,"Noncore"
8075,"Micropolitan"
8077,"Small metro"
8079,"Noncore"
8081,"Micropolitan"
8083,"Noncore"
8085,"Micropolitan"
8087,"Micropolitan"
8089,"Noncore"
8093,"Large fringe metro"
8095,"Noncore"
8097,"Micropolitan"
8099,"Noncore"
8101,"Small metro"
8103,"Noncore"
8105,"Noncore"
8107,"Micropolitan"
8109,"Noncore"
8115,"Noncore"
8117,"Micropolitan"
8119,"Medium metro"
8121,"Noncore"
8123,"Medium metro"
8125,"Noncore"
9001,"Medium metro"
9003,"Large central metro"
9005,"Micropolitan"
9007,"Large fringe metro"
9009,"Medium metro"
9011,"Medium metro"
9013,"Large fringe metro"
9015,"Medium metro"
11001,"Large central metro"
10001,"Small metro"
10003,"Large fringe metro"
10005,"Medium metro"
12001,"Medium metro"
12003,"Large fringe metro"
12005,"Small metro"
12007,"Noncore"
12009,"Medium metro"
12011,"Large fringe metro"
12013,"Noncore"
12015,"Small metro"
12017,"Small metro"
12019,"Large fringe metro"
12021,"Medium metro"
12023,"Micropolitan"
12027,"Micropolitan"
12029,"Noncore"
12031,"Large central metro"
12033,"Medium metro"
12035,"Medium metro"
12037,"Noncore"
12039,"Medium metro"
12041,"Medium metro"
12043,"Noncore"
12045,"Small metro"
12047,"Noncore"
12049,"Micropolitan"
12051,"Micropolitan"
12053,"Large fringe metro"
12055,"Small metro"
12057,"Large central metro"
12059,"Noncore"
12061,"Small metro"
12063,"Noncore"
12065,"Medium metro"
12067,"Noncore"
12069,"Large fringe metro"
12071,"Medium metro"
12073,"Medium metro"
12075,"Noncore"
12077,"Noncore"
12079,"Noncore"
12081,"Medium metro"
12083,"Medium metro"
12085,"Medium metro"
12086,"Large central metro"
12087,"Micropolitan"
12089,"Large fringe metro"
12091,"Small metro"
12093,"Micropolitan"
12095,"Large central metro"
12097,"Large fringe metro"
12099,"Large fringe metro"
12101,"Large fringe metro"
12103,"Large central metro"
12105,"Medium metro"
12107,"Micropolitan"
12109,"Large fringe metro"
12111,"Medium metro"
12113,"Medium metro"
12115,"Medium metro"
12117,"Large fringe metro"
12119,"Small metro"
12121,"Noncore"
12123,"Noncore"
12125,"Noncore"
12127,"Medium metro"
12129,"Medium metro"
12131,"Small metro"
12133,"Noncore"
13001,"Noncore"
13005,"Noncore"
13007,"Small metro"
13009,"Micropolitan"
13011,"Noncore"
13013,"Large fringe metro"
13015,"Large fringe metro"
13017,"Micropolitan"
13019,"Noncore"
13021,"Small metro"
13023,"Noncore"
13025,"Small metro"
13027,"Small metro"
13029,"Medium metro"
13031,"Micropolitan"
13033,"Medium metro"
13035,"Large fringe metro"
13037,"Noncore"
13039,"Micropolitan"
13043,"Noncore"
13045,"Large fringe metro"
13047,"Medium metro"
13049,"Noncore"
13051,"Medium metro"
13053,"Medium metro"
13055,"Micropolitan"
13057,"Large fringe metro"
13059,"Small metro"
13061,"Noncore"
13063,"Large fringe metro"
13065,"Noncore"
13067,"Large fringe metro"
13069,"Micropolitan"
13071,"Micropolitan"
13073,"Medium metro"
13075,"Noncore"
13077,"Large fringe metro"
13079,"Small metro"
13081,"Micropolitan"
13083,"Medium metro"
13085,"Large fringe metro"
13087,"Micropolitan"
13089,"Large fringe metro"
13091,"Noncore"
13093,"Noncore"
13095,"Small metro"
13097,"Large fringe metro"
13099,"Noncore"
13103,"Medium metro"
13105,"Noncore"
13107,"Noncore"
13109,"Noncore"
13111,"Noncore"
13113,"Large fringe metro"
13115,"Small metro"
13117,"Large fringe metro"
13119,"Noncore"
13121,"Large central metro"
13123,"Noncore"
13125,"Noncore"
13127,"Small metro"
13129,"Micropolitan"
13131,"Noncore"
13133,"Noncore"
13135,"Large fringe metro"
13137,"Micropolitan"
13139,"Small metro"
13141,"Micropolitan"
13143,"Large fringe metro"
13145,"Medium metro"
13147,"Noncore"
13149,"Large fringe metro"
13151,"Large fringe metro"
13153,"Small metro"
13155,"Noncore"
13157,"Micropolitan"
13159,"Large fringe metro"
13161,"Noncore"
13163,"Noncore"
13165,"Noncore"
13167,"Micropolitan"
13169,"Small metro"
13171,"Large fringe metro"
13175,"Micropolitan"
13177,"Small metro"
13179,"Small metro"
13183,"Small metro"
13185,"Small metro"
13187,"Noncore"
13189,"Medium metro"
13191,"Small metro"
13193,"Noncore"
13195,"Small metro"
13197,"Medium metro"
13199,"Large fringe metro"
13201,"Noncore"
13205,"Noncore"
13207,"Small metro"
13211,"Large fringe metro"
13213,"Small metro"
13215,"Medium metro"
13217,"Large fringe metro"
13219,"Small metro"
13221,"Small metro"
13223,"Large fringe metro"
13225,"Small metro"
13227,"Large fringe metro"
13229,"Micropolitan"
13231,"Large fringe metro"
13233,"Micropolitan"
13235,"Small metro"
13237,"Noncore"
13239,"Noncore"
13241,"Noncore"
13243,"Noncore"
13245,"Medium metro"
13247,"Large fringe metro"
13251,"Noncore"
13253,"Noncore"
13255,"Large fringe metro"
13257,"Micropolitan"
13259,"Noncore"
13261,"Micropolitan"
13263,"Noncore"
13267,"Noncore"
13269,"Noncore"
13271,"Noncore"
13273,"Small metro"
13275,"Micropolitan"
13277,"Micropolitan"
13279,"Micropolitan"
13281,"Noncore"
13283,"Noncore"
13285,"Micropolitan"
13287,"Noncore"
13289,"Small metro"
13291,"Noncore"
13293,"Micropolitan"
13295,"Medium metro"
13297,"Large fringe metro"
13299,"Micropolitan"
13301,"Noncore"
13303,"Noncore"
13305,"Micropolitan"
13309,"Noncore"
13311,"Noncore"
13313,"Small metro"
13315,"Noncore"
13317,"Noncore"
13319,"Noncore"
13321,"Small metro"
15001,"Micropolitan"
15003,"Medium metro"
15007,"Micropolitan"
15009,"Small metro"
19001,"Noncore"
19003,"Noncore"
19005,"Noncore"
19007,"Noncore"
19009,"Noncore"
19011,"Medium metro"
19013,"Small metro"
19015,"Micropolitan"
19017,"Small metro"
19019,"Noncore"
19021,"Micropolitan"
19023,"Noncore"
19025,"Noncore"
19027,"Noncore"
19029,"Noncore"
19031,"Noncore"
19033,"Micropolitan"
19035,"Noncore"
19037,"Noncore"
19039,"Noncore"
19041,"Micropolitan"
19043,"Noncore"
19045,"Micropolitan"
19047,"Noncore"
19049,"Medium metro"
19051,"Micropolitan"
19053,"Noncore"
19055,"Noncore"
19057,"Micropolitan"
19059,"Micropolitan"
19061,"Small metro"
19063,"Noncore"
19065,"Noncore"
19067,"Noncore"
19069,"Noncore"
19071,"Noncore"
19073,"Noncore"
19075,"Small metro"
19077,"Medium metro"
19079,"Noncore"
19081,"Noncore"
19083,"Noncore"
19085,"Medium metro"
19087,"Noncore"
19089,"Noncore"
19091,"Noncore"
19093,"Noncore"
19095,"Noncore"
19097,"Noncore"
19099,"Micropolitan"
19101,"Micropolitan"
19103,"Small metro"
19105,"Medium metro"
19107,"Noncore"
19109,"Noncore"
19111,"Micropolitan"
19113,"Medium metro"
19115,"Noncore"
19117,"Noncore"
19119,"Noncore"
19121,"Medium metro"
19123,"Micropolitan"
19125,"Noncore"
19127,"Micropolitan"
19129,"Medium metro"
19131,"Noncore"
19133,"Noncore"
19135,"Noncore"
19137,"Noncore"
19139,"Micropolitan"
19141,"Noncore"
19143,"Noncore"
19145,"Noncore"
19147,"Noncore"
19149,"Small metro"
19151,"Noncore"
19153,"Medium metro"
19155,"Medium metro"
19157,"Noncore"
19159,"Noncore"
19161,"Noncore"
19163,"Medium metro"
19165,"Noncore"
19167,"Noncore"
19169,"Small metro"
19171,"Noncore"
19173,"Noncore"
19175,"Noncore"
19177,"Noncore"
19179,"Micropolitan"
19181,"Medium metro"
19183,"Small metro"
19185,"Noncore"
19187,"Micropolitan"
19189,"Noncore"
19191,"Noncore"
19193,"Small metro"
19195,"Micropolitan"
19197,"Noncore"
16001,"Medium metro"
16003,"Noncore"
16005,"Small metro"
16009,"Noncore"
16011,"Micropolitan"
16013,"Micropolitan"
16015,"Medium metro"
16017,"Micropolitan"
16019,"Small metro"
16021,"Noncore"
16023,"Small metro"
16027,"Medium metro"
16029,"Noncore"
16031,"Micropolitan"
16035,"Noncore"
16037,"Noncore"
16039,"Micropolitan"
16041,"Small metro"
16043,"Micropolitan"
16045,"Medium metro"
16047,"Noncore"
16049,"Noncore"
16051,"Small metro"
16053,"Micropolitan"
16055,"Small metro"
16057,"Micropolitan"
16059,"Noncore"
16061,"Noncore"
16063,"Micropolitan"
16065,"Micropolitan"
16067,"Micropolitan"
16069,"Small metro"
16071,"Noncore"
16073,"Medium metro"
16075,"Micropolitan"
16077,"Noncore"
16079,"Noncore"
16081,"Micropolitan"
16083,"Micropolitan"
16085,"Noncore"
16087,"Noncore"
17001,"Micropolitan"
17003,"Small metro"
17005,"Large fringe metro"
17007,"Medium metro"
17009,"Noncore"
17011,"Micropolitan"
17015,"Noncore"
17017,"Noncore"
17019,"Small metro"
17021,"Micropolitan"
17023,"Noncore"
17025,"Noncore"
17027,"Large fringe metro"
17029,"Micropolitan"
17031,"Large central metro"
17033,"Noncore"
17035,"Micropolitan"
17037,"Large fringe metro"
17039,"Small metro"
17041,"Noncore"
17043,"Large fringe metro"
17045,"Noncore"
17047,"Noncore"
17049,"Micropolitan"
17051,"Noncore"
17053,"Small metro"
17055,"Noncore"
17057,"Micropolitan"
17059,"Noncore"
17061,"Noncore"
17063,"Large fringe metro"
17065,"Noncore"
17067,"Micropolitan"
17069,"Noncore"
17071,"Micropolitan"
17073,"Medium metro"
17075,"Noncore"
17077,"Small metro"
17079,"Noncore"
17081,"Micropolitan"
17083,"Large fringe metro"
17085,"Noncore"
17087,"Noncore"
17089,"Large fringe metro"
17091,"Small metro"
17093,"Large fringe metro"
17095,"Micropolitan"
17097,"Large fringe metro"
17099,"Micropolitan"
17101,"Noncore"
17103,"Micropolitan"
17105,"Micropolitan"
17107,"Micropolitan"
17109,"Micropolitan"
17111,"Large fringe metro"
17113,"Small metro"
17115,"Small metro"
17117,"Large fringe metro"
17119,"Large fringe metro"
17121,"Micropolitan"
17123,"Medium metro"
17125,"Noncore"
17127,"Micropolitan"
17129,"Small metro"
17131,"Medium metro"
17133,"Large fringe metro"
17135,"Noncore"
17137,"Micropolitan"
17139,"Noncore"
17141,"Micropolitan"
17143,"Medium metro"
17145,"Noncore"
17147,"Small metro"
17149,"Noncore"
17153,"Noncore"
17155,"Micropolitan"
17157,"Noncore"
17159,"Noncore"
17161,"Medium metro"
17163,"Large fringe metro"
17165,"Noncore"
17167,"Small metro"
17169,"Noncore"
17173,"Noncore"
17175,"Medium metro"
17177,"Micropolitan"
17179,"Medium metro"
17181,"Noncore"
17183,"Small metro"
17185,"Noncore"
17187,"Noncore"
17189,"Noncore"
17191,"Noncore"
17193,"Noncore"
17195,"Micropolitan"
17197,"Large fringe metro"
17199,"Small metro"
17201,"Medium metro"
17203,"Medium metro"
18001,"Micropolitan"
18003,"Medium metro"
18005,"Small metro"
18007,"Small metro"
18009,"Noncore"
18011,"Large fringe metro"
18013,"Large fringe metro"
18015,"Small metro"
18017,"Micropolitan"
18019,"Large fringe metro"
18021,"Small metro"
18023,"Micropolitan"
18025,"Noncore"
18027,"Micropolitan"
18029,"Large fringe metro"
18031,"Micropolitan"
18033,"Micropolitan"
18035,"Small metro"
18037,"Micropolitan"
18039,"Small metro"
18041,"Micropolitan"
18043,"Large fringe metro"
18045,"Noncore"
18047,"Noncore"
18049,"Noncore"
18051,"Noncore"
18053,"Micropolitan"
18055,"Noncore"
18057,"Large fringe metro"
18059,"Large fringe metro"
18061,"Large fringe metro"
18063,"Large fringe metro"
18065,"Micropolitan"
18067,"Small metro"
18069,"Micropolitan"
18071,"Micropolitan"
18073,"Large fringe metro"
18075,"Noncore"
18077,"Micropolitan"
18079,"Micropolitan"
18081,"Large fringe metro"
18083,"Micropolitan"
18085,"Micropolitan"
18087,"Noncore"
18089,"Large fringe metro"
18091,"Small metro"
18093,"Micropolitan"
18095,"Large fringe metro"
18097,"Large central metro"
18099,"Micropolitan"
18101,"Noncore"
18103,"Micropolitan"
18105,"Small metro"
18107,"Micropolitan"
18109,"Large fringe metro"
18111,"Large fringe metro"
18113,"Micropolitan"
18115,"Large fringe metro"
18117,"Noncore"
18119,"Small metro"
18121,"Noncore"
18123,"Noncore"
18125,"Micropolitan"
18127,"Large fringe metro"
18129,"Medium metro"
18131,"Noncore"
18133,"Large fringe metro"
18135,"Noncore"
18137,"Noncore"
18139,"Noncore"
18141,"Medium metro"
18143,"Large fringe metro"
18145,"Large fringe metro"
18147,"Noncore"
18149,"Noncore"
18151,"Micropolitan"
18153,"Small metro"
18155,"Noncore"
18157,"Small metro"
18159,"Noncore"
18161,"Large fringe metro"
18163,"Medium metro"
18165,"Small metro"
18167,"Small metro"
18169,"Micropolitan"
18171,"Noncore"
18173,"Medium metro"
18175,"Large fringe metro"
18177,"Micropolitan"
18179,"Medium metro"
18181,"Noncore"
18183,"Medium metro"
20001,"Noncore"
20003,"Noncore"
20005,"Micropolitan"
20007,"Noncore"
20009,"Micropolitan"
20011,"Noncore"
20013,"Noncore"
20015,"Medium metro"
20017,"Noncore"
20019,"Noncore"
20021,"Noncore"
20023,"Noncore"
20025,"Noncore"
20027,"Noncore"
20029,"Noncore"
20031,"Noncore"
20033,"Noncore"
20035,"Micropolitan"
20037,"Micropolitan"
20039,"Noncore"
20041,"Noncore"
20043,"Small metro"
20045,"Small metro"
20047,"Noncore"
20051,"Micropolitan"
20053,"Noncore"
20055,"Micropolitan"
20057,"Micropolitan"
20059,"Micropolitan"
20061,"Micropolitan"
20063,"Noncore"
20065,"Noncore"
20067,"Noncore"
20069,"Noncore"
20071,"Noncore"
20073,"Noncore"
20077,"Noncore"
20079,"Medium metro"
20081,"Noncore"
20083,"Noncore"
20085,"Small metro"
20087,"Small metro"
20089,"Noncore"
20091,"Large fringe metro"
20093,"Micropolitan"
20095,"Medium metro"
20097,"Noncore"
20099,"Micropolitan"
20101,"Noncore"
20103,"Large fringe metro"
20105,"Noncore"
20107,"Large fringe metro"
20109,"Noncore"
20111,"Micropolitan"
20113,"Micropolitan"
20115,"Noncore"
20117,"Noncore"
20119,"Noncore"
20121,"Large fringe metro"
20123,"Noncore"
20125,"Micropolitan"
20127,"Noncore"
20129,"Noncore"
20131,"Noncore"
20133,"Noncore"
20135,"Noncore"
20137,"Noncore"
20139,"Small metro"
20141,"Noncore"
20143,"Micropolitan"
20145,"Noncore"
20147,"Noncore"
20149,"Small metro"
20151,"Noncore"
20153,"Noncore"
20155,"Micropolitan"
20157,"Noncore"
20159,"Noncore"
20161,"Small metro"
20163,"Noncore"
20165,"Noncore"
20167,"Noncore"
20169,"Micropolitan"
20171,"Noncore"
20173,"Medium metro"
20175,"Micropolitan"
20177,"Small metro"
20179,"Noncore"
20181,"Noncore"
20183,"Noncore"
20185,"Noncore"
20187,"Noncore"
20189,"Noncore"
20191,"Medium metro"
20193,"Noncore"
20195,"Noncore"
20197,"Small metro"
20199,"Noncore"
20201,"Noncore"
20203,"Noncore"
20205,"Noncore"
20207,"Noncore"
20209,"Large fringe metro"
21001,"Noncore"
21003,"Small metro"
21005,"Micropolitan"
21007,"Micropolitan"
21009,"Micropolitan"
21011,"Micropolitan"
21013,"Micropolitan"
21015,"Large fringe metro"
21017,"Medium metro"
21019,"Medium metro"
21021,"Micropolitan"
21025,"Noncore"
21027,"Noncore"
21029,"Large fringe metro"
21031,"Small metro"
21033,"Noncore"
21035,"Micropolitan"
21037,"Large fringe metro"
21039,"Noncore"
21041,"Noncore"
21043,"Noncore"
21045,"Noncore"
21047,"Medium metro"
21049,"Medium metro"
21051,"Noncore"
21053,"Noncore"
21055,"Noncore"
21057,"Noncore"
21059,"Small metro"
21061,"Small metro"
21065,"Noncore"
21067,"Medium metro"
21069,"Noncore"
21071,"Noncore"
21073,"Micropolitan"
21075,"Micropolitan"
21077,"Large fringe metro"
21079,"Noncore"
21081,"Large fringe metro"
21083,"Micropolitan"
21085,"Noncore"
21087,"Noncore"
21089,"Medium metro"
21091,"Small metro"
21093,"Small metro"
21095,"Noncore"
21097,"Noncore"
21099,"Noncore"
21101,"Medium metro"
21103,"Large fringe metro"
21105,"Noncore"
21107,"Micropolitan"
21109,"Noncore"
21111,"Large central metro"
21113,"Medium metro"
21115,"Noncore"
21117,"Large fringe metro"
21119,"Noncore"
21121,"Micropolitan"
21123,"Small metro"
21125,"Micropolitan"
21127,"Noncore"
21129,"Noncore"
21131,"Noncore"
21133,"Noncore"
21135,"Noncore"
21137,"Micropolitan"
21139,"Micropolitan"
21141,"Noncore"
21143,"Noncore"
21145,"Micropolitan"
21147,"Noncore"
21149,"Small metro"
21151,"Micropolitan"
21153,"Noncore"
21155,"Noncore"
21157,"Noncore"
21159,"Noncore"
21161,"Micropolitan"
21163,"Small metro"
21165,"Micropolitan"
21167,"Noncore"
21169,"Micropolitan"
21171,"Noncore"
21173,"Micropolitan"
21175,"Noncore"
21177,"Noncore"
21179,"Micropolitan"
21181,"Noncore"
21183,"Noncore"
21185,"Large fringe metro"
21187,"Noncore"
21189,"Noncore"
21191,"Large fringe metro"
21193,"Noncore"
21195,"Noncore"
21197,"Noncore"
21199,"Micropolitan"
21201,"Noncore"
21203,"Micropolitan"
21205,"Noncore"
21207,"Noncore"
21209,"Medium metro"
21211,"Large fringe metro"
21213,"Noncore"
21215,"Large fringe metro"
21217,"Micropolitan"
21219,"Noncore"
21221,"Medium metro"
21223,"Large fringe metro"
21225,"Noncore"
21227,"Small metro"
21229,"Noncore"
21231,"Noncore"
21233,"Noncore"
21235,"Micropolitan"
21237,"Noncore"
21239,"Medium metro"
22001,"Medium metro"
22003,"Noncore"
22005,"Medium metro"
22007,"Noncore"
22009,"Noncore"
22011,"Micropolitan"
22013,"Noncore"
22015,"Medium metro"
22017,"Medium metro"
22019,"Small metro"
22021,"Noncore"
22025,"Noncore"
22027,"Noncore"
22029,"Micropolitan"
22031,"Medium metro"
22033,"Medium metro"
22035,"Noncore"
22037,"Medium metro"
22039,"Noncore"
22041,"Noncore"
22043,"Small metro"
22045,"Medium metro"
22047,"Medium metro"
22049,"Noncore"
22051,"Large fringe metro"
22053,"Noncore"
22055,"Medium metro"
22057,"Small metro"
22059,"Noncore"
22061,"Micropolitan"
22063,"Medium metro"
22065,"Noncore"
22067,"Micropolitan"
22069,"Micropolitan"
22071,"Large central metro"
22073,"Small metro"
22075,"Large fringe metro"
22077,"Medium metro"
22079,"Small metro"
22081,"Noncore"
22083,"Noncore"
22085,"Noncore"
22087,"Large fringe metro"
22089,"Large fringe metro"
22091,"Medium metro"
22093,"Large fringe metro"
22095,"Large fringe metro"
22097,"Micropolitan"
22099,"Medium metro"
22101,"Micropolitan"
22103,"Large fringe metro"
22105,"Small metro"
22109,"Small metro"
22111,"Small metro"
22113,"Medium metro"
22115,"Micropolitan"
22117,"Micropolitan"
22119,"Medium metro"
22121,"Medium metro"
22123,"Noncore"
22125,"Medium metro"
22127,"Noncore"
25001,"Small metro"
25003,"Small metro"
25005,"Large fringe metro"
25007,"Micropolitan"
25009,"Large fringe metro"
25011,"Micropolitan"
25013,"Medium metro"
25015,"Medium metro"
25017,"Large fringe metro"
25019,"Noncore"
25021,"Large fringe metro"
25023,"Large fringe metro"
25025,"Large central metro"
25027,"Medium metro"
24001,"Small metro"
24003,"Large fringe metro"
24005,"Large fringe metro"
24009,"Large fringe metro"
24011,"Noncore"
24013,"Large fringe metro"
24015,"Large fringe metro"
24017,"Large fringe metro"
24019,"Micropolitan"
24021,"Large fringe metro"
24023,"Noncore"
24025,"Large fringe metro"
24027,"Large fringe metro"
24029,"Noncore"
24031,"Large fringe metro"
24033,"Large fringe metro"
24035,"Large fringe metro"
24037,"Small metro"
24039,"Medium metro"
24041,"Micropolitan"
24043,"Medium metro"
24045,"Medium metro"
24047,"Medium metro"
24510,"Large central metro"
23001,"Small metro"
23003,"Noncore"
23005,"Medium metro"
23007,"Noncore"
23009,"Noncore"
23011,"Micropolitan"
23013,"Noncore"
23017,"Noncore"
23019,"Small metro"
23021,"Noncore"
23023,"Medium metro"
23025,"Noncore"
23027,"Noncore"
23029,"Noncore"
23031,"Medium metro"
26001,"Noncore"
26003,"Noncore"
26005,"Micropolitan"
26007,"Micropolitan"
26009,"Noncore"
26011,"Noncore"
26013,"Noncore"
26015,"Large fringe metro"
26017,"Small metro"
26019,"Micropolitan"
26021,"Small metro"
26023,"Micropolitan"
26025,"Small metro"
26027,"Medium metro"
26029,"Noncore"
26031,"Noncore"
26033,"Micropolitan"
26035,"Noncore"
26037,"Medium metro"
26039,"Noncore"
26041,"Micropolitan"
26043,"Micropolitan"
26045,"Medium metro"
26047,"Noncore"
26049,"Medium metro"
26051,"Noncore"
26053,"Noncore"
26055,"Micropolitan"
26057,"Micropolitan"
26059,"Micropolitan"
26061,"Micropolitan"
26063,"Noncore"
26065,"Medium metro"
26067,"Micropolitan"
26069,"Noncore"
26071,"Noncore"
26073,"Micropolitan"
26075,"Small metro"
26077,"Medium metro"
26079,"Micropolitan"
26081,"Large central metro"
26085,"Noncore"
26087,"Large fringe metro"
26089,"Micropolitan"
26091,"Micropolitan"
26093,"Large fringe metro"
26095,"Noncore"
26097,"Noncore"
26099,"Large fringe metro"
26101,"Noncore"
26103,"Micropolitan"
26105,"Micropolitan"
26107,"Micropolitan"
26109,"Micropolitan"
26111,"Small metro"
26113,"Micropolitan"
26115,"Small metro"
26117,"Large fringe metro"
26119,"Noncore"
26121,"Small metro"
26123,"Noncore"
26125,"Large fringe metro"
26127,"Noncore"
26129,"Noncore"
26131,"Noncore"
26133,"Noncore"
26135,"Noncore"
26137,"Noncore"
26139,"Large fringe metro"
26141,"Noncore"
26143,"Noncore"
26145,"Small metro"
26147,"Large fringe metro"
26149,"Micropolitan"
26151,"Noncore"
26153,"Noncore"
26155,"Micropolitan"
26157,"Noncore"
26159,"Medium metro"
26161,"Medium metro"
26163,"Large central metro"
26165,"Micropolitan"
27001,"Noncore"
27003,"Large fringe metro"
27005,"Noncore"
27007,"Micropolitan"
27009,"Small metro"
27011,"Noncore"
27013,"Small metro"
27015,"Micropolitan"
27017,"Medium metro"
27019,"Large fringe metro"
27021,"Micropolitan"
27023,"Noncore"
27025,"Large fringe metro"
27027,"Small metro"
27029,"Noncore"
